Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL,Platform
"Twinings of London Apple,Cinnamon & Raisin Tea Imported...",Twinings,525.0,24.0,699.0,4.5,108,https://www.flipkart.com/twinings-london-apple-cinnamon-raisin-tea-imported-50g-bags-box/p/itm7114318d2c184?pid=TEAFSBKGR2ZWDXSH&lid=LSTTEAFSBKGR2ZWDXSH3C0EEK&marketplace=FLIPKART&srno=b_8_293&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBKGR2ZWDXSH.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Twinings of London Wild Berry Tea Imported 50G Tea Bags...,Twinings,525.0,24.0,699.0,4.5,108,https://www.flipkart.com/twinings-london-wild-berry-tea-imported-50g-bags-box/p/itm9350a7fca3976?pid=TEAFSBHAESDFUTV3&lid=LSTTEAFSBHAESDFUTV3NQ35VQ&marketplace=FLIPKART&srno=b_8_295&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBHAESDFUTV3.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Twinings of London Blackcurrant Tea Imported 50G Tea Ba...,Twinings,525.0,24.0,699.0,4.5,108,https://www.flipkart.com/twinings-london-blackcurrant-tea-imported-50g-bags-box/p/itm25d9c790bb37b?pid=TEAFSBKRCAQXUEGS&lid=LSTTEAFSBKRCAQXUEGSYVOW7C&marketplace=FLIPKART&srno=b_8_296&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBKRCAQXUEGS.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
NutroActive Keto Atta (1 gm Net Carb Per Roti) Extremel...,NutroActive,1399.0,22.0,1797.0,4.9,10,https://www.flipkart.com/nutroactive-keto-atta-1-gm-net-carb-per-roti-extremely-low-flour-750-pack-3/p/itm39227e17937f8?pid=FLRFPFVKP9DFQPGZ&lid=LSTFLRFPFVKP9DFQPGZQGYCOH&marketplace=FLIPKART&srno=b_8_299&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.FLRFPFVKP9DFQPGZ.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Shara's Premium Quality Jumbo Raisins,Shara's,320.0,42.0,560.0,4.3,44,https://www.flipkart.com/shara-s-premium-quality-jumbo-raisins/p/itma2f09c588b25a?pid=NDFFJWCFBAP26MPZ&lid=LSTNDFFJWCFBAP26MPZGZ2UFT&marketplace=FLIPKART&srno=b_8_301&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.NDFFJWCFBAP26MPZ.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Twinings of London Lady Grey Tea Since 1706 Tea Importe...,Twinings,525.0,24.0,699.0,4.5,108,https://www.flipkart.com/twinings-london-lady-grey-tea-since-1706-imported-50g-bags-box/p/itm1f68034cb5883?pid=TEAFSBHYHEAVDUGV&lid=LSTTEAFSBHYHEAVDUGVSKTP84&marketplace=FLIPKART&srno=b_8_302&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBHYHEAVDUGV.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
India Gate Mogra Basmati Rice (Broken Grain),India,328.0,13.0,380.0,3.6,76,https://www.flipkart.com/india-gate-mogra-basmati-rice-broken-grain/p/itmf7ahhhfdzgmdd?pid=RICEUC2YJAGMXRYF&lid=LSTRICEUC2YJAGMXRYFIBF1PL&marketplace=FLIPKART&srno=b_8_303&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.RICEUC2YJAGMXRYF.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
"Organic Forest Old Fashion Whole Rolled Oats, 500gm Pre...",Organic,178.0,16.0,212.0,4.5,38,https://www.flipkart.com/organic-forest-old-fashion-whole-rolled-oats-500gm-premium-quality-high-fiber-antioxidants-protein-gluten-free/p/itm200de0ad0b379?pid=CAFFZTWA3NDBC6GJ&lid=LSTCAFFZTWA3NDBC6GJSPIWPV&marketplace=FLIPKART&srno=b_8_305&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.CAFFZTWA3NDBC6GJ.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Twinings of London Prince of Wales Since 1706 Tea Impor...,Twinings,525.0,24.0,699.0,4.5,108,https://www.flipkart.com/twinings-london-prince-wales-since-1706-tea-imported-50g-bags-box/p/itm75d566a933f4a?pid=TEAFSBKVSM7BHHGG&lid=LSTTEAFSBKVSM7BHHGG2XWPCF&marketplace=FLIPKART&srno=b_8_306&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBKVSM7BHHGG.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Abbzorb Nutrition Abbzorb Whey Protein Chocolate Whey P...,Abbzorb,1502.0,49.0,2949.0,4.4,570,https://www.flipkart.com/abbzorb-nutrition-whey-protein-chocolate/p/itmfe6zcza2h5uty?pid=PSLFE2EBCYBJ9XCZ&lid=LSTPSLFE2EBCYBJ9XCZIIGDXV&marketplace=FLIPKART&srno=b_8_308&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.PSLFE2EBCYBJ9XCZ.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Twinings of London English Breakfast Tea Since 1706 Imp...,Twinings,525.0,24.0,699.0,4.5,108,https://www.flipkart.com/twinings-london-english-breakfast-tea-since-1706-imported-50g-bags-box/p/itmb779d3a17a1dc?pid=TEAFSBH7GRGFKHHJ&lid=LSTTEAFSBH7GRGFKHHJJQOM0S&marketplace=FLIPKART&srno=b_8_311&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBH7GRGFKHHJ.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Wonderland California Inshell Walnuts,Wonderland,785.0,17.0,950.0,4.1,388,https://www.flipkart.com/wonderland-california-inshell-walnuts/p/itmfcphzrtfpe4zz?pid=NDFFCPHZZKWFZFZZ&lid=LSTNDFFCPHZZKWFZFZZSBU1VU&marketplace=FLIPKART&srno=b_8_312&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.NDFFCPHZZKWFZFZZ.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
zenulife Premium Quality Organic Green Coffee Beans Pow...,zenulife,232.0,70.0,796.0,3.7,860,https://www.flipkart.com/zenulife-premium-quality-organic-green-coffee-beans-powder-weight-loss-pack-4-instant-50-g/p/itmffk4xzuzvxyda?pid=CFEFFJ487DEEWPS3&lid=LSTCFEFFJ487DEEWPS3PFBWT3&marketplace=FLIPKART&srno=b_8_315&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.CFEFFJ487DEEWPS3.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
NAVVAYD Kashmiri Kahwa Green Tea Spices Green Tea Box,NAVVAYD,269.0,10.0,300.0,3.9,17,https://www.flipkart.com/navvayd-kashmiri-kahwa-green-tea-spices-box/p/itm6d3dc4ab2e54a?pid=TEAFZZJHFGSUQ9HE&lid=LSTTEAFZZJHFGSUQ9HE6QKNAM&marketplace=FLIPKART&srno=b_8_316&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFZZJHFGSUQ9HE.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Twinings of London Pure Ceylon Since 1706 Tea Imported ...,Twinings,525.0,24.0,695.0,4.5,108,https://www.flipkart.com/twinings-london-pure-ceylon-since-1706-tea-imported-50g-bags-box/p/itmcff253c483a7f?pid=TEAFSBKMF3HE6YZT&lid=LSTTEAFSBKMF3HE6YZTAT4Z5Q&marketplace=FLIPKART&srno=b_8_317&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBKMF3HE6YZT.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
True Elements Muesli No Added Sugar - Fibre Rich Muesli,True,459.0,8.0,500.0,4.5,123,https://www.flipkart.com/true-elements-muesli-no-added-sugar-fibre-rich/p/itmf2193843f8f92?pid=CAFFGGPSMYATDRZ6&lid=LSTCAFFGGPSMYATDRZ6LPQOCZ&marketplace=FLIPKART&srno=b_8_318&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.CAFFGGPSMYATDRZ6.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
Twinings of London Earl Grey Tea Since 1706 Imported 50...,Twinings,549.0,30.0,795.0,4.5,108,https://www.flipkart.com/twinings-london-earl-grey-tea-since-1706-imported-50g-bags-box/p/itmee6cf943ee9ce?pid=TEAFSBKBKVYDTCFS&lid=LSTTEAFSBKBKVYDTCFS1VCF9W&marketplace=FLIPKART&srno=b_8_319&otracker=browse&fm=organic&iid=0e24a8c7-49d6-4d85-b195-46ee6099a266.TEAFSBKBKVYDTCFS.SEARCH&ssid=zjz99b7h340000001591295074547,Flipkart
AS-IT-IS Nutrition Whey Protein Concentrate 80% (USA Ma...,AS-IT-IS,1179.0,26.0,1599.0,4.2,45356,https://www.flipkart.com/as-it-is-nutrition-whey-protein-concentrate-80-usa-made-unflavored-1kg/p/itmfa2vyyn3hyfmz?pid=PSLF3NJHZWGJWXBG&lid=LSTPSLF3NJHZWGJWXBGTUOBAQ&marketplace=FLIPKART&srno=b_9_321&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.PSLF3NJHZWGJWXBG.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
"NAVVAYD Chocolate Chai (125 Cups), 100% Natural Ingredi...",NAVVAYD,309.0,22.0,399.0,3.0,3,https://www.flipkart.com/navvayd-chocolate-chai-125-cups-100-natural-ingredients-250-gms-black-tea-vacuum-pack/p/itmcb1d047c33e1f?pid=TEAFZSF8XUG2D2S6&lid=LSTTEAFZSF8XUG2D2S6IWZ7NM&marketplace=FLIPKART&srno=b_9_322&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.TEAFZSF8XUG2D2S6.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Bliss of Earth High Curcumin Certified Organic Lakadong...,Bliss,450.0,40.0,750.0,4.6,32,https://www.flipkart.com/bliss-earth-high-curcumin-certified-organic-lakadong-turmeric-powder/p/itm9d9b4b3b4608e?pid=SCMFHPRFRPGHV8A8&lid=LSTSCMFHPRFRPGHV8A8RTGYTS&marketplace=FLIPKART&srno=b_9_323&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.SCMFHPRFRPGHV8A8.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
FARMUP Besan 1 Kg,FARMUP,330.0,33.0,499.0,4.8,4,https://www.flipkart.com/farmup-besan-1-kg/p/itm22d9a9d485a53?pid=FLRFBGQPGGRUFYQY&lid=LSTFLRFBGQPGGRUFYQYEF6XGZ&marketplace=FLIPKART&srno=b_9_325&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.FLRFBGQPGGRUFYQY.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
NAVVAYD Sampler Box Rose Herbal Tea Box,NAVVAYD,269.0,10.0,300.0,0.0,0,https://www.flipkart.com/navvayd-sampler-box-rose-herbal-tea/p/itm1437ec6ca4e45?pid=TEAFZSKDYHFFGNZ3&lid=LSTTEAFZSKDYHFFGNZ3FHUDSC&marketplace=FLIPKART&srno=b_9_326&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.TEAFZSKDYHFFGNZ3.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Nutraj Special Round Raisin 1 Kg (500 g X 2) Raisins,Nutraj,525.0,12.0,598.0,4.2,281,https://www.flipkart.com/nutraj-special-round-raisin-1-kg-500-g-x-2-raisins/p/itm6d8db67ae0752?pid=NDFFGVEEDXX7R9Q7&lid=LSTNDFFGVEEDXX7R9Q7KTREZL&marketplace=FLIPKART&srno=b_9_327&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.NDFFGVEEDXX7R9Q7.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Hershey's Syrup Indulgent Caramel,Hershey's,172.0,21.0,220.0,4.3,408,https://www.flipkart.com/hershey-s-syrup-indulgent-caramel/p/itmfgw69jxqyusrk?pid=SYRFGW69FMTGUHXN&lid=LSTSYRFGW69FMTGUHXNQDQNGF&marketplace=FLIPKART&srno=b_9_328&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.SYRFGW69FMTGUHXN.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Fabelle Choco Deck Fruit and Nut Bars,Fabelle,152.0,5.0,160.0,4.8,5,https://www.flipkart.com/fabelle-choco-deck-fruit-nut-bars/p/itmfbbzrhaycv4mb?pid=CHCF9EFY5XBZJYQZ&lid=LSTCHCF9EFY5XBZJYQZMAVE7S&marketplace=FLIPKART&srno=b_9_329&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.CHCF9EFY5XBZJYQZ.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Nutty Gritties Sports Mix - dryfruits,Nutty,539.0,7.0,585.0,4.4,272,https://www.flipkart.com/nutty-gritties-sports-mix-dryfruits/p/itmc20a2c8ca1228?pid=NDFFJXC4KSZCGM4A&lid=LSTNDFFJXC4KSZCGM4AMMEDSS&marketplace=FLIPKART&srno=b_9_331&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.NDFFJXC4KSZCGM4A.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Ensure Chocolate Nutrition Drink,Ensure,248.0,8.0,270.0,4.5,1314,https://www.flipkart.com/ensure-chocolate-nutrition-drink/p/itmf4e2m2gf7gu8y?pid=ESRF3DZ2XHDXKPED&lid=LSTESRF3DZ2XHDXKPEDXH9RWZ&marketplace=FLIPKART&srno=b_9_332&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.ESRF3DZ2XHDXKPED.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
D NATURE FRESH Roasted & Salted Almonds 250g (Pouch) Al...,D,275.0,26.0,375.0,4.3,202,https://www.flipkart.com/d-nature-fresh-roasted-salted-almonds-250g-pouch/p/itme4bb7cfcc27eb?pid=NDFFKQFEHB2GW3H5&lid=LSTNDFFKQFEHB2GW3H5KUCXBJ&marketplace=FLIPKART&srno=b_9_333&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.NDFFKQFEHB2GW3H5.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Happilo Premium Dried Californian Blueberry,Happilo,428.0,11.0,485.0,4.1,360,https://www.flipkart.com/happilo-premium-dried-californian-blueberry/p/itmf4n9phsxdrdmy?pid=NDFF4N9PCHCM4GF9&lid=LSTNDFF4N9PCHCM4GF9HOKCBG&marketplace=FLIPKART&srno=b_9_335&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.NDFF4N9PCHCM4GF9.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Real Basmati Half Grain (Pack of 5) Basmati Rice (Mediu...,Real,490.0,10.0,550.0,4.2,53,https://www.flipkart.com/real-basmati-half-grain-pack-5-rice-medium-grain-steam/p/itmfhkgzkb8hjyfn?pid=RICFHGGGKAB4E7HW&lid=LSTRICFHGGGKAB4E7HWOFQZOH&marketplace=FLIPKART&srno=b_9_336&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.RICFHGGGKAB4E7HW.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Eighty7 California Almonds(200g + 250g) - Pack of 2 Alm...,Eighty7,490.0,29.0,694.0,4.3,3817,https://www.flipkart.com/eighty7-california-almonds-200g-250g-pack-2-almonds/p/itmfcd7cz6jvtu3c?pid=NDFFC8FETEYJFVCH&lid=LSTNDFFC8FETEYJFVCHP5ZGNG&marketplace=FLIPKART&srno=b_9_337&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.NDFFC8FETEYJFVCH.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
True Elements 5 in 1 Super Seeds Mix - Roasted Sunflowe...,True,119.0,0.0,120.0,4.4,1222,https://www.flipkart.com/true-elements-5-1-super-seeds-mix-roasted-sunflower-pumpkin-flax-watermelon-chia/p/itme8a988eab9662?pid=EDSF8YN8HFTZ4Y7F&lid=LSTEDSF8YN8HFTZ4Y7FZ2ABUP&marketplace=FLIPKART&srno=b_9_338&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.EDSF8YN8HFTZ4Y7F.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Sugar Free Natura 300 Pellets Sweetener,Sugar,186.0,2.0,190.0,4.6,176,https://www.flipkart.com/sugar-free-natura-300-pellets-sweetener/p/itm44b92d74b1ae2?pid=ARSFZJHH6FK9ARQQ&lid=LSTARSFZJHH6FK9ARQQUHSEJ6&marketplace=FLIPKART&srno=b_9_339&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.ARSFZJHH6FK9ARQQ.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Neuherbs Chia Seeds,Neuherbs Chia,219.0,18.0,270.0,4.2,763,https://www.flipkart.com/neuherbs-chia-seeds/p/itmffeqzkhnjcey3?pid=EDSFFDQBFRWRKH3G&lid=LSTEDSFFDQBFRWRKH3GM4SDRO&marketplace=FLIPKART&srno=b_9_342&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.EDSFFDQBFRWRKH3G.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
AS-IT-IS Nutrition Whey Protein Isolate - 1000 gm Whey ...,AS-IT-IS,1391.0,26.0,1890.0,4.2,7627,https://www.flipkart.com/as-it-is-nutrition-whey-protein-isolate-1000-gm/p/itmf4g9ntz3yjjr2?pid=PSLF4G8EWHRQJTEK&lid=LSTPSLF4G8EWHRQJTEKXYBLRW&marketplace=FLIPKART&srno=b_9_345&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.PSLF4G8EWHRQJTEK.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Veg E Wagon Ceylon Cinnamon Whole 500 Gm,Veg,494.0,20.0,618.0,3.9,28,https://www.flipkart.com/veg-e-wagon-ceylon-cinnamon-whole-500-gm/p/itmf2h66pebddgtq?pid=SCMF2KZ34HEUZVUJ&lid=LSTSCMF2KZ34HEUZVUJKMBBWF&marketplace=FLIPKART&srno=b_9_346&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.SCMF2KZ34HEUZVUJ.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
MuscleBlaze High Protein Natural Peanut Butter 750 g,MuscleBlaze,349.0,30.0,499.0,4.3,2883,https://www.flipkart.com/muscleblaze-high-protein-natural-peanut-butter-750-g/p/itmfcgughw593zr9?pid=JASFCHAWFYTRBF8C&lid=LSTJASFCHAWFYTRBF8C49DRKE&marketplace=FLIPKART&srno=b_9_347&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.JASFCHAWFYTRBF8C.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Salz & Aroma Nigella Seeds/ Kalonji Beej,Salz,395.0,29.0,564.0,5.0,6,https://www.flipkart.com/salz-aroma-nigella-seeds-kalonji-beej/p/itmfh7sqwkgkgqpj?pid=SCMFH7AYK7HHNVVA&lid=LSTSCMFH7AYK7HHNVVA1RKQL7&marketplace=FLIPKART&srno=b_9_348&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.SCMFH7AYK7HHNVVA.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
"Real Basmati , (Pack of 3) Half Grain Basmati Rice (Med...",Real,300.0,9.0,330.0,4.2,35,https://www.flipkart.com/real-basmati-pack-3-half-grain-rice-medium-grain-steam/p/itmff2k2wrz9mbgp?pid=RICFFFUHTM7NZUGH&lid=LSTRICFFFUHTM7NZUGHZ2ROVG&marketplace=FLIPKART&srno=b_9_349&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.RICFFFUHTM7NZUGH.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
NAVVAYD Lemon Ginger Mint Green Tea Lemon Green Tea Box,NAVVAYD,269.0,10.0,300.0,3.9,17,https://www.flipkart.com/navvayd-lemon-ginger-mint-green-tea-box/p/itmcb7ad11c20190?pid=TEAFZQP6CGXY6JWC&lid=LSTTEAFZQP6CGXY6JWC5SI6MD&marketplace=FLIPKART&srno=b_9_351&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.TEAFZQP6CGXY6JWC.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Kitchens of India Mutter Paneer and Vegetable Pulao 785...,Kitchens,266.0,5.0,280.0,4.1,40,https://www.flipkart.com/kitchens-india-mutter-paneer-vegetable-pulao-785-g/p/itm9fd04093b45b4?pid=RMDFNH72TDNGUHPF&lid=LSTRMDFNH72TDNGUHPFRZYU0G&marketplace=FLIPKART&srno=b_9_352&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.RMDFNH72TDNGUHPF.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Shara's W240 Jumbo Size Cashew Nuts I Kaju I Cashews,Shara's,599.0,38.0,970.0,4.3,3,https://www.flipkart.com/shara-s-w240-jumbo-size-cashew-nuts-kaju-cashews/p/itm4150891e4dc69?pid=NDFFJVTZNYYVPKCN&lid=LSTNDFFJVTZNYYVPKCNRGGKGJ&marketplace=FLIPKART&srno=b_9_353&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.NDFFJVTZNYYVPKCN.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
NattyNuts Natural & Best Heart Caring cardamom,NattyNuts,199.0,33.0,299.0,4.4,35,https://www.flipkart.com/nattynuts-natural-best-heart-caring-cardamom/p/itm539ce15b07d9c?pid=SCMFQXJHYVNYHGHW&lid=LSTSCMFQXJHYVNYHGHWK6Z451&marketplace=FLIPKART&srno=b_9_355&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.SCMFQXJHYVNYHGHW.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Optimum Nutrition Gold Standard 100% Whey Protein,Optimum,2959.0,20.0,3699.0,4.2,52221,https://www.flipkart.com/optimum-nutrition-gold-standard-100-whey-protein/p/itmf3kctms5j3hnq?pid=PSLEAVTMNYGQAQTC&lid=LSTPSLEAVTMNYGQAQTC2LC1NB&marketplace=FLIPKART&srno=b_9_356&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.PSLEAVTMNYGQAQTC.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Seven Seas Cod Liver Oil Capsules (500 Capsules),Seven,1005.0,0.0,1006.0,4.5,2257,https://www.flipkart.com/seven-seas-cod-liver-oil-capsules-500-capsules/p/itmf4yv6gy5gawzb?pid=VSLF3P2ZTZ2TPJYF&lid=LSTVSLF3P2ZTZ2TPJYFPS2G0H&marketplace=FLIPKART&srno=b_9_357&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.VSLF3P2ZTZ2TPJYF.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
Neuherbs Instant Green Coffee Lemon 30 Sachet Instant C...,Neuherbs,349.0,20.0,440.0,4.2,190,https://www.flipkart.com/neuherbs-instant-green-coffee-lemon-30-sachet/p/itm1fa42d9ccb741?pid=CFEFKNYFNZ3CZEF5&lid=LSTCFEFKNYFNZ3CZEF5QRLTQT&marketplace=FLIPKART&srno=b_9_358&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.CFEFKNYFNZ3CZEF5.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
NAVVAYD Rose Black Tea Rose Black Tea Box,NAVVAYD,269.0,10.0,300.0,3.3,3,https://www.flipkart.com/navvayd-rose-black-tea-box/p/itm6962001699bf9?pid=TEAFZZJHTXMWWAFU&lid=LSTTEAFZZJHTXMWWAFUAXLOHN&marketplace=FLIPKART&srno=b_9_359&otracker=browse&fm=organic&iid=64e04a6c-ce14-40d4-866d-c40f44d2700f.TEAFZZJHTXMWWAFU.SEARCH&ssid=6rjaa6ccxc0000001591295095197,Flipkart
MuscleBlaze Raw Whey Protein,MuscleBlaze,1183.0,40.0,1999.0,4.2,33633,https://www.flipkart.com/muscleblaze-raw-whey-protein/p/itmet4ndbdwakkn6?pid=PSLET4NDF84FHZGV&lid=LSTPSLET4NDF84FHZGVGM5KKH&marketplace=FLIPKART&srno=b_10_361&otracker=browse&fm=organic&iid=eb4fd16c-738d-44cb-926b-1b8e2f60bd32.PSLET4NDF84FHZGV.SEARCH&ssid=ztrg37z9y80000001591295115340,Flipkart
Wonderland California Almonds 1kg (Pack of 2) (500g Eac...,Wonderland,999.0,16.0,1200.0,4.2,140,https://www.flipkart.com/wonderland-california-almonds-1kg-pack-2-500g-each/p/itmf9heb8n3a9fen?pid=NDFF9JTRW4SKVYUG&lid=LSTNDFF9JTRW4SKVYUGAYSJAX&marketplace=FLIPKART&srno=b_10_362&otracker=browse&fm=organic&iid=eb4fd16c-738d-44cb-926b-1b8e2f60bd32.NDFF9JTRW4SKVYUG.SEARCH&ssid=ztrg37z9y80000001591295115340,Flipkart
Shara's Premium (W320) Cashewnuts Pack of 2 - 800g (400...,Shara's,890.0,35.0,1380.0,4.3,24,https://www.flipkart.com/shara-s-premium-w320-cashewnuts-pack-2-800g-400g-each-cashews/p/itm92cc6140b4eb6?pid=NDFFKSHDSZUSWVHC&lid=LSTNDFFKSHDSZUSWVHCOVZNCQ&marketplace=FLIPKART&srno=b_10_363&otracker=browse&fm=organic&iid=eb4fd16c-738d-44cb-926b-1b8e2f60bd32.NDFFKSHDSZUSWVHC.SEARCH&ssid=ztrg37z9y80000001591295115340,Flipkart
Bliss of Earth 500ml Each Certified Organic Flax seed O...,Bliss,1239.0,48.0,2400.0,4.7,3,https://www.flipkart.com/bliss-earth-500ml-each-certified-organic-flax-seed-oil-black-combo-flaxseed-plastic-bottle/p/itme1071e5578d49?pid=EDOFHMAGHYSYN6FW&lid=LSTEDOFHMAGHYSYN6FW2E1WDL&marketplace=FLIPKART&srno=b_10_365&otracker=browse&fm=organic&iid=eb4fd16c-738d-44cb-926b-1b8e2f60bd32.EDOFHMAGHYSYN6FW.SEARCH&ssid=ztrg37z9y80000001591295115340,Flipkart
